DISTRITO_NORM,PROVINCIA_NORM,ANIO,MES,ira_no_neumonia,neumonias_men5,neumonias_60mas,hospitalizados_men5,hospitalizados_60mas,defunciones_men5,defunciones_60mas,TOTAL_CASOS,POBLACION,TASA_INCIDENCIA,ESTRATO,PRODUCCION
ALTO SELVA ALEGRE,AREQUIPA,2021,5,133.0,3.0,5.0,1.0,1.0,0.0,0.0,141.0,90180.0,1.563539587491683,PEQUEÑO PRODUCTOR MINERO,3700.0
ALTO SELVA ALEGRE,AREQUIPA,2021,6,106.0,1.0,10.0,0.0,7.0,0.0,0.0,117.0,90180.0,1.2974051896207586,PEQUEÑO PRODUCTOR MINERO,40.0
ALTO SELVA ALEGRE,AREQUIPA,2021,7,125.0,3.0,4.0,2.0,1.0,0.0,0.0,132.0,90180.0,1.4637391882900865,PEQUEÑO PRODUCTOR MINERO,1600.0
ALTO SELVA ALEGRE,AREQUIPA,2021,8,150.0,1.0,6.0,1.0,4.0,0.0,1.0,157.0,90180.0,1.7409625194056333,PEQUEÑO PRODUCTOR MINERO,700.0
ALTO SELVA ALEGRE,AREQUIPA,2021,9,192.0,3.0,8.0,2.0,8.0,0.0,0.0,203.0,90180.0,2.251053448658239,PEQUEÑO PRODUCTOR MINERO,40.0
ALTO SELVA ALEGRE,AREQUIPA,2021,10,155.0,1.0,4.0,1.0,2.0,0.0,0.0,160.0,90180.0,1.7742293191394987,PEQUEÑO PRODUCTOR MINERO,40.0
ALTO SELVA ALEGRE,AREQUIPA,2021,11,153.0,3.0,7.0,2.0,5.0,0.0,0.0,163.0,90180.0,1.8074961188733643,PEQUEÑO PRODUCTOR MINERO,40.0
ALTO SELVA ALEGRE,AREQUIPA,2021,12,389.0,3.0,10.0,2.0,7.0,0.0,2.0,402.0,90180.0,4.45775116433799,PEQUEÑO PRODUCTOR MINERO,40.0
ALTO SELVA ALEGRE,AREQUIPA,2022,1,310.0,1.0,7.0,1.0,2.0,0.0,0.0,318.0,91755.0,3.4657511852215137,PEQUEÑO PRODUCTOR MINERO,40.0
ALTO SELVA ALEGRE,AREQUIPA,2022,2,169.0,1.0,4.0,1.0,0.0,0.0,0.0,174.0,91755.0,1.8963544221023376,PEQUEÑO PRODUCTOR MINERO,40.0
ALTO SELVA ALEGRE,AREQUIPA,2022,3,170.0,2.0,3.0,1.0,1.0,0.0,1.0,175.0,91755.0,1.9072530107351098,PEQUEÑO PRODUCTOR MINERO,154.0
ALTO SELVA ALEGRE,AREQUIPA,2022,4,543.0,2.0,6.0,2.0,3.0,0.0,1.0,551.0,91755.0,6.005122336657403,PEQUEÑO PRODUCTOR MINERO,50.0
ALTO SELVA ALEGRE,AREQUIPA,2022,5,733.0,9.0,7.0,6.0,7.0,0.0,2.0,749.0,91755.0,8.16304288594627,PEQUEÑO PRODUCTOR MINERO,650.0
ALTO SELVA ALEGRE,AREQUIPA,2022,6,771.0,7.0,8.0,2.0,3.0,0.0,1.0,786.0,91755.0,8.566290665358837,PEQUEÑO PRODUCTOR MINERO,400.0
ALTO SELVA ALEGRE,AREQUIPA,2022,7,832.0,6.0,11.0,2.0,4.0,0.0,2.0,849.0,91755.0,9.252901749223476,PEQUEÑO PRODUCTOR MINERO,900.0
ALTO SELVA ALEGRE,AREQUIPA,2022,8,571.0,3.0,10.0,0.0,4.0,0.0,2.0,584.0,91755.0,6.364775761538881,PEQUEÑO PRODUCTOR MINERO,1800.0
ALTO SELVA ALEGRE,AREQUIPA,2022,9,604.0,1.0,5.0,1.0,2.0,0.0,1.0,610.0,91755.0,6.648139065990954,PEQUEÑO PRODUCTOR MINERO,80.0
ALTO SELVA ALEGRE,AREQUIPA,2022,10,543.0,1.0,3.0,1.0,2.0,0.0,0.0,547.0,91755.0,5.961527982126315,PEQUEÑO PRODUCTOR MINERO,1300.0
ALTO SELVA ALEGRE,AREQUIPA,2022,11,538.0,2.0,11.0,0.0,6.0,0.0,0.0,551.0,91755.0,6.005122336657403,PEQUEÑO PRODUCTOR MINERO,40.0
ALTO SELVA ALEGRE,AREQUIPA,2022,12,1168.0,7.0,9.0,3.0,4.0,0.0,0.0,1184.0,91755.0,12.903928941202114,PEQUEÑO PRODUCTOR MINERO,40.0
ALTO SELVA ALEGRE,AREQUIPA,2023,1,308.0,1.0,3.0,0.0,2.0,0.0,1.0,312.0,93292.0,3.3443382069202077,PEQUEÑO PRODUCTOR MINERO,40.0
ALTO SELVA ALEGRE,AREQUIPA,2023,2,270.0,1.0,6.0,1.0,3.0,0.0,1.0,277.0,93292.0,2.969172061913133,PEQUEÑO PRODUCTOR MINERO,40.0
ALTO SELVA ALEGRE,AREQUIPA,2023,3,505.0,4.0,4.0,3.0,3.0,0.0,2.0,513.0,93292.0,5.498863782532264,PEQUEÑO PRODUCTOR MINERO,40.0
ALTO SELVA ALEGRE,AREQUIPA,2023,4,857.0,13.0,7.0,8.0,4.0,0.0,0.0,877.0,93292.0,9.40059169060584,PEQUEÑO PRODUCTOR MINERO,40.0
ALTO SELVA ALEGRE,AREQUIPA,2023,5,901.0,22.0,5.0,11.0,1.0,0.0,0.0,928.0,93292.0,9.94726235904472,PEQUEÑO PRODUCTOR MINERO,5500.0
ALTO SELVA ALEGRE,AREQUIPA,2023,6,910.0,35.0,5.0,21.0,1.0,0.0,2.0,950.0,93292.0,10.183081078763452,PEQUEÑO PRODUCTOR MINERO,6500.0
ALTO SELVA ALEGRE,AREQUIPA,2023,7,761.0,15.0,8.0,7.0,4.0,0.0,2.0,784.0,93292.0,8.40372164815847,PEQUEÑO PRODUCTOR MINERO,6500.0
ALTO SELVA ALEGRE,AREQUIPA,2023,8,592.0,8.0,4.0,4.0,2.0,0.0,0.0,604.0,93292.0,6.4742957595506585,PEQUEÑO PRODUCTOR MINERO,6500.0
ALTO SELVA ALEGRE,AREQUIPA,2023,9,524.0,4.0,0.0,2.0,0.0,0.0,0.0,528.0,93292.0,5.659649273249582,PEQUEÑO PRODUCTOR MINERO,40.0
ALTO SELVA ALEGRE,AREQUIPA,2023,10,541.0,6.0,6.0,2.0,3.0,0.0,1.0,553.0,93292.0,5.9276250911117785,PEQUEÑO PRODUCTOR MINERO,13000.0
ALTO SELVA ALEGRE,AREQUIPA,2023,11,406.0,2.0,5.0,1.0,2.0,0.0,0.0,413.0,93292.0,4.42696051108348,PEQUEÑO PRODUCTOR MINERO,9200.0
ALTO SELVA ALEGRE,AREQUIPA,2023,12,1033.0,8.0,14.0,3.0,7.0,0.0,3.0,1055.0,93292.0,11.308579513784675,PEQUEÑO PRODUCTOR MINERO,1400.0
ALTO SELVA ALEGRE,AREQUIPA,2024,1,,,,,,,,,,,PEQUEÑO PRODUCTOR MINERO,40.0
ALTO SELVA ALEGRE,AREQUIPA,2024,2,,,,,,,,,,,PEQUEÑO PRODUCTOR MINERO,40.0
ALTO SELVA ALEGRE,AREQUIPA,2024,3,,,,,,,,,,,PEQUEÑO PRODUCTOR MINERO,700.0
ALTO SELVA ALEGRE,AREQUIPA,2024,4,,,,,,,,,,,PEQUEÑO PRODUCTOR MINERO,3100.0
ALTO SELVA ALEGRE,AREQUIPA,2024,5,,,,,,,,,,,PEQUEÑO PRODUCTOR MINERO,160.0
ALTO SELVA ALEGRE,AREQUIPA,2024,6,,,,,,,,,,,PEQUEÑO PRODUCTOR MINERO,2000.0
ALTO SELVA ALEGRE,AREQUIPA,2024,7,,,,,,,,,,,PEQUEÑO PRODUCTOR MINERO,650.0
ALTO SELVA ALEGRE,AREQUIPA,2024,8,,,,,,,,,,,PEQUEÑO PRODUCTOR MINERO,40.0
ALTO SELVA ALEGRE,AREQUIPA,2024,9,,,,,,,,,,,PEQUEÑO PRODUCTOR MINERO,40.0
ALTO SELVA ALEGRE,AREQUIPA,2024,10,,,,,,,,,,,PEQUEÑO PRODUCTOR MINERO,850.0
ALTO SELVA ALEGRE,AREQUIPA,2024,11,,,,,,,,,,,PEQUEÑO PRODUCTOR MINERO,800.0
ALTO SELVA ALEGRE,AREQUIPA,2024,12,,,,,,,,,,,PEQUEÑO PRODUCTOR MINERO,1700.0
ANDAGUA,CASTILLA,2021,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,993.0,2.014098690835851,NO MINERIA,0.0
ANDAGUA,CASTILLA,2021,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,993.0,3.0211480362537766,NO MINERIA,0.0
ANDAGUA,CASTILLA,2021,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,993.0,0.0,NO MINERIA,0.0
ANDAGUA,CASTILLA,2021,4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,993.0,3.0211480362537766,NO MINERIA,0.0
ANDAGUA,CASTILLA,2021,5,4.0,0.0,5.0,0.0,0.0,0.0,0.0,9.0,993.0,9.06344410876133,NO MINERIA,0.0
ANDAGUA,CASTILLA,2021,6,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,993.0,5.0352467270896275,NO MINERIA,0.0
ANDAGUA,CASTILLA,2021,7,7.0,0.0,5.0,0.0,0.0,0.0,0.0,12.0,993.0,12.084592145015106,NO MINERIA,0.0
ANDAGUA,CASTILLA,2021,8,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,993.0,4.028197381671702,NO MINERIA,0.0
ANDAGUA,CASTILLA,2021,9,3.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0,993.0,5.0352467270896275,NO MINERIA,0.0
ANDAGUA,CASTILLA,2021,10,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,993.0,7.049345417925478,NO MINERIA,0.0
ANDAGUA,CASTILLA,2021,11,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,993.0,3.0211480362537766,NO MINERIA,0.0
ANDAGUA,CASTILLA,2021,12,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,993.0,6.042296072507553,NO MINERIA,0.0
ANDAGUA,CASTILLA,2022,1,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,977.0,8.18833162743091,NO MINERIA,0.0
ANDAGUA,CASTILLA,2022,2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,977.0,4.094165813715455,NO MINERIA,0.0
ANDAGUA,CASTILLA,2022,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,977.0,1.0235414534288638,NO MINERIA,0.0
