DISTRITO_NORM,PROVINCIA_NORM,ANIO,MES,ESTRATO,PRODUCCION
CHAPARRA,CARAVELI,2022,9,PEQUEÑO PRODUCTOR MINERO,0.0
CHAPARRA,CARAVELI,2022,9,RÉGIMEN GENERAL,230.0
CHAPARRA,CARAVELI,2022,10,PEQUEÑO PRODUCTOR MINERO,190.0
CHAPARRA,CARAVELI,2022,10,RÉGIMEN GENERAL,435.0
CHAPARRA,CARAVELI,2022,11,PEQUEÑO PRODUCTOR MINERO,320.0
CHAPARRA,CARAVELI,2022,11,RÉGIMEN GENERAL,260.0
CHAPARRA,CARAVELI,2022,12,PEQUEÑO PRODUCTOR MINERO,10.0
CHAPARRA,CARAVELI,2022,12,RÉGIMEN GENERAL,80.0
CHAPARRA,CARAVELI,2023,1,RÉGIMEN GENERAL,105.0
CHAPARRA,CARAVELI,2023,2,RÉGIMEN GENERAL,231.0
CHAPARRA,CARAVELI,2023,3,RÉGIMEN GENERAL,110.0
CHAPARRA,CARAVELI,2023,4,RÉGIMEN GENERAL,345.0
CHAPARRA,CARAVELI,2023,5,RÉGIMEN GENERAL,272.0
CHAPARRA,CARAVELI,2023,6,RÉGIMEN GENERAL,385.0
CHAPARRA,CARAVELI,2023,7,RÉGIMEN GENERAL,375.0
CHAPARRA,CARAVELI,2023,8,RÉGIMEN GENERAL,187.0
CHAPARRA,CARAVELI,2023,9,RÉGIMEN GENERAL,250.0
CHAPARRA,CARAVELI,2023,10,RÉGIMEN GENERAL,386.0
CHAPARRA,CARAVELI,2023,11,RÉGIMEN GENERAL,375.0
CHAPARRA,CARAVELI,2023,12,RÉGIMEN GENERAL,345.0
CHAPARRA,CARAVELI,2024,1,RÉGIMEN GENERAL,242.0
CHAPARRA,CARAVELI,2024,2,RÉGIMEN GENERAL,210.0
CHAPARRA,CARAVELI,2024,3,RÉGIMEN GENERAL,297.0
CHAPARRA,CARAVELI,2024,4,RÉGIMEN GENERAL,301.0
CHAPARRA,CARAVELI,2024,5,RÉGIMEN GENERAL,388.0
CHAPARRA,CARAVELI,2024,6,RÉGIMEN GENERAL,187.0
CHAPARRA,CARAVELI,2024,7,RÉGIMEN GENERAL,239.0
CHAPARRA,CARAVELI,2024,8,RÉGIMEN GENERAL,209.0
CHAPARRA,CARAVELI,2024,9,RÉGIMEN GENERAL,349.0
CHAPARRA,CARAVELI,2024,10,RÉGIMEN GENERAL,311.0
CHAPARRA,CARAVELI,2024,11,RÉGIMEN GENERAL,133.0
CHAPARRA,CARAVELI,2024,12,RÉGIMEN GENERAL,705.0
COCACHACRA,ISLAY,2021,1,PEQUEÑO PRODUCTOR MINERO,9202.380000000001
COCACHACRA,ISLAY,2021,1,PRODUCTOR MINERO ARTESANAL,0.0
COCACHACRA,ISLAY,2021,2,PEQUEÑO PRODUCTOR MINERO,8390.25
COCACHACRA,ISLAY,2021,2,PRODUCTOR MINERO ARTESANAL,0.0
COCACHACRA,ISLAY,2021,3,PEQUEÑO PRODUCTOR MINERO,6779.2
